keyword,subj,positive,negative,anger,disgust,fear,happy,sad,surprise
μνησικακήσαμε,0.875,0.0,1.0,0.6875,0.4375,0.1875,0.0,0.0,0.3125
σκυλομούρηδων,1.0,0.0,1.0,0.4375,0.5625,0.125,0.0,0.0,0.3125
κυριαρχούσες,0.375,0.25,0.5,0.0625,0.125,0.1875,0.125,0.0,0.1875
μαστροχαλαστή,0.625,0.0,1.0,0.1875,0.25,0.0,0.0,0.0,0.25
ανοιγμένη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κλασίματα,0.75,0.0,1.0,0.375,0.5625,0.0625,0.0,0.0,0.3125
κάρου,0.25,0.0,0.5,0.125,0.25,0.0,0.0,0.0,0.25
κατακυριεύουν,0.5,0.25,0.5,0.125,0.0625,0.1875,0.1875,0.0625,0.25
σιτεύω,0.25,0.0,0.5,0.125,0.25,0.0,0.0,0.0,0.1875
μουγγοί,0.375,0.0,0.75,0.1875,0.1875,0.125,0.0,0.0,0.625
πικράνεις,0.875,0.0,1.0,0.0625,0.1875,0.0625,0.0,0.8125,0.1875
φορτίο,0.25,0.0,0.5,0.125,0.125,0.0,0.0,0.0,0.1875
τραγικότερου,0.625,0.0,1.0,0.375,0.5,0.125,0.0,0.25,0.3125
λουλούδι,0.5,0.5,0.5,0.0625,0.125,0.0,0.1875,0.0,0.25
αισθηματολόγησα,0.75,0.25,0.75,0.0,0.375,0.0,0.0625,0.0,0.0625
πιάνω,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
βάρυνες,0.5,0.0,1.0,0.1875,0.1875,0.0,0.0,0.3125,0.1875
κάψ' τον,0.375,0.25,0.75,0.5,0.1875,0.125,0.25,0.25,0.3125
μαφιόζικέ,0.5,0.0,0.75,0.375,0.3125,0.4375,0.0,0.0,0.375
ευκολότερος,0.375,0.25,0.5,0.0625,0.125,0.0,0.0625,0.0,0.3125
αξιολάτρευτος,0.875,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.4375
αεροβατούσανε,0.625,0.0,0.75,0.1875,0.125,0.0,0.0,0.0625,0.3125
μονάσαν,0.25,0.0,0.5,0.0,0.1875,0.0,0.0,0.0,0.3125
στραβοκατινιάζατε,0.625,0.0,0.75,0.25,0.3125,0.0,0.0,0.0,0.25
ευαίσθητος,0.625,0.75,0.5,0.0,0.0625,0.0625,0.3125,0.3125,0.25
κουφοβράζοντάς,0.375,0.25,0.75,0.0625,0.125,0.0,0.0,0.125,0.0625
μπάζατε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ζώσουνε,0.375,0.0,0.75,0.1875,0.125,0.375,0.0,0.0,0.1875
μπαΐλντιζέ,0.625,0.0,0.75,0.3125,0.4375,0.0,0.0,0.125,0.3125
αυτωνών,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
γυφταριό,1.0,0.0,1.0,0.4375,0.5625,0.1875,0.0,0.0,0.1875
σκοτίζουν,0.875,0.0,1.0,0.1875,0.1875,0.0,0.0,0.125,0.3125
διαστρέψουμε,0.5,0.0,0.75,0.25,0.375,0.0,0.0,0.0,0.125
μνησικακείτε,0.875,0.0,1.0,0.6875,0.4375,0.1875,0.0,0.0,0.3125
έχοντάς,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
θηλυκότατης,0.25,0.0,0.5,0.1875,0.1875,0.0,0.0,0.0,0.1875
καλόκαρδου,0.5,0.75,0.0,0.0,0.0,0.0,0.625,0.0,0.375
αλήτης,0.625,0.0,0.75,0.625,0.6875,0.25,0.0,0.25,0.25
απαισιότατο,0.75,0.0,1.0,0.5,0.75,0.0625,0.0,0.1875,0.125
πλασματικέ,0.25,0.0,0.25,0.0,0.0625,0.0,0.0,0.0,0.125
επισκεφτήκατε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
φάνηκες,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
θάμπωσέ,0.5,0.5,0.75,0.0625,0.1875,0.0,0.0,0.0,0.5625
υποχρέωση,0.25,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.125
ακαλαίσθητους,0.875,0.0,1.0,0.1875,0.5,0.0,0.0,0.125,0.1875
ξυλοπόδαρούς,0.375,0.0,0.75,0.125,0.3125,0.0625,0.0,0.0,0.3125
εμπνεύσουμε,0.25,0.5,0.0,0.0,0.0,0.0625,0.375,0.0,0.375
σκατόγεροι,1.0,0.0,1.0,0.75,0.8125,0.0,0.0,0.0,0.375
ξεθύμανέ,0.25,0.25,0.25,0.0,0.0625,0.0625,0.0625,0.0,0.25
σκατοδουλειές,1.0,0.0,1.0,0.625,0.6875,0.0,0.0,0.0625,0.375
νιαούριζε,0.5,0.0,1.0,0.1875,0.5,0.0,0.0,0.0,0.25
άκουγες,0.125,0.25,0.0,0.0625,0.0625,0.0,0.125,0.0,0.125
στέγνωσες,0.25,0.0,0.5,0.0,0.1875,0.0,0.0,0.0,0.0625
αλύπητες,0.75,0.25,1.0,0.125,0.1875,0.25,0.0,0.4375,0.25
